station_id,model,horizon,condition,skill_rmse,variance_retention,std_ratio,correlation,amplitude_ratio,criterion_A,criterion_B,criterion_C,GHOST_SKILL,GHOST_SKILL_STATUS,adjudication_rationale
01022001_10_47,sarima,1,lags_only,0.022715882816828917,0.7628884827250492,0.8734348760640653,0.6809900852411934,0.8581210548080815,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,sarima,2,lags_only,0.05290215539072978,0.5407494292127519,0.7353566680276665,0.42244697580672924,0.7576088061407598,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,sarima,3,lags_only,0.06944662898773636,0.4108742499016478,0.6409947346910486,0.2624558022597264,0.6824389061533958,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,sarima,4,lags_only,0.06940579965112484,0.3162076915028833,0.5623234758596545,0.16802227323552,0.5947930915186899,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,sarima,5,lags_only,0.0516317942424616,0.24819350974605078,0.49819023449486716,0.10433897781067678,0.5222108211758929,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,sarima,6,lags_only,0.03077800040423744,0.20981999537289342,0.4580611262406944,0.07484834600973356,0.47024248004338404,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,sarima,7,lags_only,0.012795545404268159,0.17918960470642517,0.4233079313058346,0.05990940527610338,0.42722442282054784,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,xgboost_direct,2,lags_only,0.028026339900709654,0.29833308694674915,0.5461987613925439,0.1986180192808059,0.6230284478610004,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,xgboost_direct,3,lags_only,0.15258916599417002,0.23548093929439834,0.4852637832090896,0.1790983737080247,0.5566293675560092,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,xgboost_direct,4,lags_only,0.18383206492652868,0.24697046697809039,0.4969612328724349,0.14129468207723767,0.5596472477787192,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,xgboost_direct,5,lags_only,0.18758647598088998,0.2741112206389561,0.5235563204078011,0.119431597868899,0.5847810242959842,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
01022001_10_47,xgboost_direct,6,lags_only,0.21221066362004806,0.24578507880173878,0.4957671618832159,0.13629271253538902,0.5561733482653616,PASS,FAIL,FAIL,NO,NOT_ADJUDICABLE,"Positive RMSE skill is present, but the preregistration deliberately provides no universal materiality cutoff and does not establish criterion C automatically from diagnostic deterioration."
